ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
rh_middletemporal_Thickness,1.4559450957424675e-06,2.5658711196099537e-05,0.0005738889113863483,0.04470946134767297,2.2e-05,0.000127,0.0,-0.000105
lh_rostralanteriorcingulate_Thickness,1.4281902278274033e-06,-5.214403820863301e-05,0.0011704656367879222,-0.04454944346533286,-2.9e-05,-0.000401,0.0,0.000372
left_putamen_Surface_Area,1.3819136726719018e-06,1.65796410536554e-05,0.0003673039862342383,0.04513751633481897,1.5e-05,7.4e-05,0.0,-5.8e-05
right_inf_lat_vent_Volume,1.3637481108557455e-06,1.4598169155839189e-05,0.0005190073001011921,0.028126555999179608,2.1e-05,0.0,0.0,2.1e-05
left_ventraldc_Volume,1.3215368658728018e-06,5.500545446832459e-06,0.00030287844343365066,0.01816030147758801,9e-06,-9e-06,0.0,1.8e-05
lh_caudalanteriorcingulate_Thickness,1.2459694247918242e-06,-2.5213571886221566e-05,0.0007714338341958803,-0.03268361320497571,-3.5e-05,-1.2e-05,0.0,-2.3e-05
rh_supramarginal_Surface_Area,1.2251019000083605e-06,1.996012233644166e-05,0.001266528977615488,0.015759579996519783,-1.4e-05,0.000379,0.0,-0.000393
rh_corpuscallosum_Thickness,1.2171405805691235e-06,1.4947621712189914e-06,4.7829523656670806e-05,0.03124533977274583,1e-06,9e-06,0.0,-8e-06
rh_medialorbitofrontal_Thickness,1.161904681160532e-06,-4.421511326749959e-05,0.0010129635128039102,-0.04364883455354344,-2.7e-05,-0.000322,0.0,0.000295
lh_corpuscallosum_Surface_Area,1.1461968828139396e-06,1.1387313275741001e-06,2.2848722856675035e-05,0.04981605204778867,1e-06,2e-06,0.0,-0.0
fourth_ventricle_Surface_Area,1.1442397520655055e-06,2.1057563326700872e-07,1.4508911680730818e-05,0.014503541167378276,0.0,0.0,0.0,0.0
lh_precuneus_Volume,1.1378104585680823e-06,2.2146554019786974e-05,0.0004718994498884744,0.04692966844597164,3.7e-05,-4.3e-05,0.0,8e-05
lh_entorhinal_Surface_Area,1.0757921662663191e-06,1.893720392500528e-05,0.00031799497259625423,0.059550024549610905,2.7e-05,0.0,0.0,2.7e-05
rh_precuneus_Surface_Area,1.0676898577759367e-06,-5.277244318346406e-06,0.00016938949204030546,-0.03115265727650933,-1e-05,2.4e-05,0.0,-3.5e-05
lh_pericalcarine_Surface_Area,1.0475777391943172e-06,9.074461103978564e-06,0.00021687732177842967,0.041839518463181354,1.6e-05,-2.3e-05,0.0,3.8e-05
rh_frontalpole_Surface_Area,9.699743553910627e-07,-8.14588329308293e-06,0.00013851358748951108,-0.05880502693232466,-9e-06,-2.4e-05,0.0,1.6e-05
left_caudate_Thickness,9.684122113789143e-07,-7.660728271035582e-06,0.00023185275057460936,-0.03303992664647742,-1.1e-05,0.0,0.0,-1.1e-05
lh_rostralanteriorcingulate_Volume,9.528555167205187e-07,6.474804373855671e-08,4.450413536487065e-05,0.001454550182943778,0.0,-3e-06,0.0,3e-06
rh_medialorbitofrontal_Surface_Area,9.035883832279042e-07,-5.179531733838541e-06,0.0001115770991884807,-0.046416940412527835,-6e-06,-1.1e-05,0.0,5e-06
lh_lateraloccipital_Thickness,8.621251754959119e-07,-3.6241443743161886e-05,0.0010758602201161938,-0.03368570210935648,-4.6e-05,-4.9e-05,0.0,2e-06
lh_unknown_Volume,8.352039630279775e-07,-1.11959757179123e-05,0.0003502633954546834,-0.03196353437970649,-1e-05,-4.9e-05,0.0,3.9e-05
rh_temporalpole_Thickness,8.145321635481438e-07,-7.73507413674104e-06,0.0001662846144473165,-0.04651427926543932,-7e-06,-3.8e-05,0.0,3.1e-05
rh_parsorbitalis_Volume,8.046889129031122e-07,6.015877527610333e-06,0.00016236924932997858,0.03704831468573415,4e-06,3.8e-05,0.0,-3.4e-05
lh_frontalpole_Thickness,7.862622116542812e-07,-4.9925387936403576e-05,0.0013604715881100503,-0.03669684938975086,-4.3e-05,-0.000251,0.0,0.000208
lh_postcentral_Volume,7.421288861285043e-07,-2.0719607301145332e-05,0.0007256654249778386,-0.028552168900825167,-1.5e-05,-0.000131,0.0,0.000116
lh_medialorbitofrontal_Thickness,6.362764084320241e-07,-2.5129357135064607e-05,0.0007734480976978122,-0.03248961670950476,-1e-05,-0.000227,0.0,0.000217
lh_rostralmiddlefrontal_Thickness,6.329008416689201e-07,-2.904095097701327e-05,0.0006883014417315522,-0.042191585402033036,-1.3e-05,-0.000253,0.0,0.00024
lh_cuneus_Surface_Area,6.253307277502619e-07,4.416669326836997e-06,7.567315689478314e-05,0.058357361241909815,6e-06,2e-06,0.0,4e-06
right_vessel_Volume,6.062550659244356e-07,4.671008892057373e-06,0.00012070088366852252,0.03869583876864138,4e-06,2.2e-05,0.0,-1.8e-05
lh_parahippocampal_Surface_Area,5.998737418004712e-07,1.4630443031100857e-05,0.00015858141459540486,0.09225242784059744,2.1e-05,0.0,0.0,2.1e-05
rh_superiorparietal_Surface_Area,5.924300692756643e-07,9.110944532206778e-07,0.0002888883232787644,0.0031536855004227304,-7e-06,7e-05,0.0,-7.6e-05
left_hippocampus_Volume,5.918771511688589e-07,4.4336216649596934e-06,0.00030275778337907105,0.014643637494973216,2e-06,3.7e-05,0.0,-3.5e-05
lh_superiorparietal_Volume,5.8659970052125e-07,-9.05962079922121e-07,0.0006175341477014121,-0.0014670401837572939,-1e-06,0.0,0.0,-1e-06
cc_anterior_Thickness,5.481477164857836e-07,-1.3491474741665222e-05,0.0004885923775553957,-0.02761238045784092,-7e-06,-0.000109,0.0,0.000102
lh_fusiform_Surface_Area,5.468071734124825e-07,1.9052672685622777e-05,0.00019598173366400468,0.09721161361981431,2.7e-05,0.0,0.0,2.7e-05
left_hippocampus_Thickness,5.254611675540328e-07,-8.542561678613505e-06,0.0005429873261923553,-0.015732235255219884,-4e-06,-7.1e-05,0.0,6.6e-05
lh_inferiortemporal_Thickness,4.865851489862353e-07,-9.729649238497688e-06,0.0006489464203689213,-0.014992762122557533,-5e-06,-7.7e-05,0.0,7.1e-05
lh_lingual_Surface_Area,4.754504080300877e-07,6.638492873088502e-06,0.00013231398826530477,0.05016847632931503,9e-06,4e-06,0.0,5e-06
rh_caudalanteriorcingulate_Surface_Area,4.6926788411936846e-07,-2.001483904194324e-06,4.901445869859339e-05,-0.040826231585740086,-3e-06,-2e-06,0.0,-1e-06
right_lateral_ventricle_Thickness,4.6773858615070795e-07,6.053473032820858e-06,0.0001454569113130181,0.04161408926731726,4e-06,3.9e-05,0.0,-3.5e-05
left_ventraldc_Surface_Area,4.369354721436483e-07,5.005808759804236e-06,9.06704390944637e-05,0.05520274063284565,6e-06,1.1e-05,0.0,-5e-06
rh_lateraloccipital_Thickness,4.2336608983239697e-07,-1.8234096453542566e-05,0.0007024180250829692,-0.025958668792277748,-2.6e-05,0.0,0.0,-2.6e-05
lh_precentral_Surface_Area,4.1759219371595104e-07,1.1664691910039536e-05,0.00041923697998184765,0.02782295989477274,-1e-06,0.000157,0.0,-0.000158
lh_inferiortemporal_Volume,4.1087001192679736e-07,-1.1341688007356996e-06,0.00019178849443994716,-0.005913335263905381,-2e-06,0.0,0.0,-2e-06
lh_medialorbitofrontal_Volume,4.096356646227781e-07,6.5825897123322786e-06,0.00022133297425825358,0.02973932077307316,1e-06,7.1e-05,0.0,-7e-05
lh_parsopercularis_Surface_Area,3.9475867214356724e-07,1.0007422562158398e-05,0.0004285566696139793,0.023350911939027674,-4e-06,0.000159,0.0,-0.000163
right_cerebral_white_matter_Surface_Area,3.940667619566609e-07,-5.813381370429075e-06,0.00028394510335768105,-0.0204728892056795,-1.1e-05,2.4e-05,0.0,-3.5e-05
left_hippocampus_Surface_Area,3.783059998503485e-07,9.869428537698804e-06,0.00013462762960494927,0.07330364153511512,1.4e-05,0.0,0.0,1.4e-05
rh_bankssts_Volume,3.5637140342501807e-07,9.991628676391302e-07,4.10944551644116e-05,0.024307897128003034,1e-06,0.0,0.0,1e-06
third_ventricle_Volume,3.5429351596525357e-07,-9.27515014219499e-08,2.4635919424926015e-05,-0.003763361383391698,0.0,-2e-06,0.0,2e-06
rh_caudalanteriorcingulate_Thickness,3.324000634451847e-07,-7.004630516461107e-06,0.00022911539776275877,-0.030571165767113464,-5e-06,-4.4e-05,0.0,3.9e-05
lh_supramarginal_Volume,3.26317386383523e-07,-2.2953044586511474e-06,0.0002489500714232002,-0.009219568606041345,-2e-06,-1.2e-05,0.0,1e-05
lh_isthmuscingulate_Surface_Area,3.134116575872693e-07,2.309200930001898e-06,4.600547262334978e-05,0.05018314054716744,3e-06,0.0,0.0,3e-06
rh_lingual_Thickness,3.0204824820310853e-07,-5.279996777685841e-06,0.0005144968387119186,-0.010262248002192645,-8e-06,0.0,0.0,-8e-06
cc_mid_anterior_Thickness,2.691981102857034e-07,-2.88682271009625e-06,9.009489482646158e-05,-0.03203846711830867,-4e-06,0.0,0.0,-4e-06
right_ventraldc_Volume,2.6900731669154634e-07,-7.664231325792714e-07,7.915754048017772e-05,-0.009681027450526538,-1e-06,0.0,0.0,-1e-06
lh_bankssts_Thickness,2.56015349062655e-07,5.693667941493042e-06,0.00028164617545788323,0.020214958653886964,1.2e-05,-3.7e-05,0.0,4.9e-05
rh_unknown_Volume,2.511562482648562e-07,1.8977981454462566e-06,0.00011009269659815149,0.01723661821265619,3e-06,0.0,0.0,3e-06
left_thalamus_Thickness,2.481367554901907e-07,-4.281436353887009e-06,0.00016430422360529134,-0.02605639524044914,-1e-06,-4.3e-05,0.0,4.2e-05
lh_postcentral_Surface_Area,2.458792840436272e-07,7.707996794008667e-06,0.00034510511175958077,0.02233456760183346,-2e-06,0.000118,0.0,-0.00012
lh_entorhinal_Thickness,2.444167109664132e-07,1.486957803314503e-06,3.082404135454753e-05,0.048224551112733084,2e-06,0.0,0.0,2e-06
right_ventraldc_Surface_Area,2.3415854134446895e-07,5.179360397299578e-07,0.00015280797146651604,0.0033892351453143244,-2e-06,2.2e-05,0.0,-2.3e-05
left_ventraldc_Thickness,2.2838920087676516e-07,2.2539645058455204e-06,9.250083672288079e-05,0.024364329474149547,3e-06,0.0,0.0,3e-06
right_amygdala_Volume,2.2327158557744226e-07,1.0484646528798823e-06,0.0001442679726928774,0.007266976609878869,-0.0,1.6e-05,0.0,-1.7e-05
rh_bankssts_Thickness,2.1415230906548846e-07,1.2811638387827e-06,0.000269806791538844,0.004748273194843984,2e-06,0.0,0.0,2e-06
right_hippocampus_Surface_Area,2.0490368980345795e-07,2.6039049737434483e-06,0.0002519698503138733,0.010333782524673898,-2e-06,5.3e-05,0.0,-5.5e-05
lh_isthmuscingulate_Thickness,2.025487941019638e-07,-8.36931165544951e-06,0.00020764219947612568,-0.04030446909093179,-9e-06,-2.5e-05,0.0,1.6e-05
rh_medialorbitofrontal_Volume,1.9706166234625633e-07,2.933717733911807e-06,0.00013526608515913624,0.02168689114902044,1e-06,3.2e-05,0.0,-3.2e-05
cc_posterior_Thickness,1.9560258179682409e-07,-7.002602208384805e-06,0.00024100572132911013,-0.029054545362302984,-4e-06,-5.4e-05,0.0,5e-05
left_pallidum_Volume,1.953104003221372e-07,2.0776188488498554e-07,1.770064047235078e-05,0.011730907485211274,0.0,0.0,0.0,0.0
rh_rostralanteriorcingulate_Surface_Area,1.9474694893820986e-07,-1.2414428982744167e-06,4.6136150311223544e-05,-0.02690241525894905,-2e-06,0.0,0.0,-2e-06
left_accumbens_area_Thickness,1.827839509139713e-07,-2.0033403361662664e-06,8.939675981380685e-05,-0.022407034326468185,-2e-06,-1.1e-05,0.0,9e-06
lh_lingual_Thickness,1.7918635912179381e-07,-1.2235270903798079e-05,0.00023289460200418466,-0.05253340122312502,-1.8e-05,0.0,0.0,-1.8e-05
lh_insula_Volume,1.750122164969057e-07,7.645957499362305e-08,3.9599627981624755e-06,0.01925951926527193,0.0,0.0,0.0,0.0
rh_inferiortemporal_Surface_Area,1.694013849458891e-07,-5.203888320786118e-06,0.0002505537313459049,-0.020768721366150617,-1e-05,2.1e-05,0.0,-3.1e-05
brain_stem_Volume,1.6037237595340362e-07,-1.0368131251119719e-06,0.00016695456597861283,-0.006209779416578614,-1e-06,0.0,0.0,-1e-06
left_inf_lat_vent_Surface_Area,1.5602177057765366e-07,5.290219743390767e-06,9.292776385845538e-05,0.05692217591384913,8e-06,0.0,0.0,8e-06
lh_parsorbitalis_Thickness,1.49879514119062e-07,-6.064183247879092e-06,0.00025471226679211855,-0.023807040209908835,-2e-06,-6e-05,0.0,5.8e-05
lh_bankssts_Surface_Area,1.4795297373100167e-07,8.123602294310759e-06,0.00014738295207177674,0.05511526962533979,1.2e-05,0.0,0.0,1.2e-05
left_putamen_Volume,1.4493196717564152e-07,1.7862175843632196e-07,1.7522669731796926e-05,0.010187938355581799,0.0,0.0,0.0,0.0
rh_isthmuscingulate_Thickness,1.414741674442043e-07,-6.573354303906585e-06,0.00013387114047551867,-0.04909843373427626,-9e-06,0.0,0.0,-9e-06
lh_lateraloccipital_Surface_Area,1.3920079585019156e-07,4.129133643739428e-06,0.0001048138576857869,0.039391162803000895,6e-06,0.0,0.0,6e-06
wm_hypointensities_Surface_Area,1.2453023959273884e-07,1.7078433138726467e-06,3.597538640847209e-05,0.04745935737598657,2e-06,0.0,0.0,2e-06
brain_stem_Surface_Area,1.2444260790473207e-07,-1.0295991521164747e-07,3.964500540760745e-06,-0.025905120443621903,-0.0,0.0,0.0,-0.0
rh_temporalpole_Volume,1.2296059616659995e-07,4.340572219886137e-06,0.00023671899873774782,0.018335616857378306,6e-06,0.0,0.0,6e-06
lh_inferiortemporal_Surface_Area,1.2137533566046397e-07,6.029578030444263e-06,0.00011895030839970187,0.05068562877447427,9e-06,0.0,0.0,9e-06
rh_transversetemporal_Thickness,1.1733697139741312e-07,2.2586480152360703e-06,9.437448020832698e-05,0.0239302903427634,3e-06,0.0,0.0,3e-06
lh_middletemporal_Thickness,9.329855941935383e-08,2.523856795626633e-06,0.00010221070513458372,0.024690269865617974,4e-06,0.0,0.0,4e-06
lh_precuneus_Surface_Area,9.230625369212823e-08,8.933449780772534e-07,2.762878676800593e-05,0.03232214878228195,1e-06,0.0,0.0,1e-06
lh_frontalpole_Volume,9.057697793599637e-08,-4.501720652340001e-07,2.8494103398216772e-05,-0.01579323716816727,-1e-06,0.0,0.0,-1e-06
rh_inferiorparietal_Thickness,8.439184851030565e-08,5.461819372261955e-06,0.00039908673605620876,0.013685452369855293,8e-06,0.0,0.0,8e-06
left_cerebral_white_matter_Surface_Area,8.142030416006372e-08,1.6662946528116807e-06,0.00010990497212043796,0.015159851480341179,0.0,1.8e-05,0.0,-1.8e-05
left_vessel_Volume,7.143386532613582e-08,5.638831452473523e-07,2.2223268213579876e-05,0.025362134789654434,1e-06,0.0,0.0,1e-06
cc_posterior_Surface_Area,6.923058102888836e-08,-3.740899373543072e-08,1.604932283957316e-06,-0.023164434885010618,-0.0,0.0,0.0,-0.0
optic_chiasm_Volume,6.361645792457467e-08,1.1747426960324304e-06,6.08913400392996e-05,0.01928927500239518,2e-06,0.0,0.0,2e-06
lh_superiortemporal_Surface_Area,6.02399040020528e-08,-5.807564724655298e-07,8.06350800474077e-05,-0.007201387513337809,-1e-06,0.0,0.0,-1e-06
left_accumbens_area_Volume,5.975795356244588e-08,4.442937346000908e-08,1.9726377219209618e-05,0.002251141279199179,0.0,0.0,0.0,0.0
right_inf_lat_vent_Surface_Area,5.967961438959429e-08,3.25388934337691e-07,0.00010345350830738213,0.003144963278946481,-1e-06,1.5e-05,0.0,-1.6e-05
left_choroid_plexus_Surface_Area,5.769091599977537e-08,4.4459340595099587e-07,2.214102534218647e-05,0.020071007959359375,1e-06,0.0,0.0,1e-06
left_thalamus_Surface_Area,5.6471846333254924e-08,6.636851913014895e-07,1.855190987965007e-05,0.0357552210739427,1e-06,0.0,0.0,1e-06
left_amygdala_Volume,5.4034686410192036e-08,-1.0651573810197957e-06,3.412840579926493e-05,-0.03120114592588066,-2e-06,0.0,0.0,-2e-06
optic_chiasm_Thickness,5.059761285375497e-08,1.0316018594497787e-08,4.425930298054809e-07,0.022793145088715768,0.0,0.0,0.0,0.0
lh_transversetemporal_Surface_Area,5.0471798738740273e-08,1.558136698102739e-06,6.759903698010234e-05,0.023046278540564128,2e-06,0.0,0.0,2e-06
left_cerebellum_cortex_Surface_Area,4.6780496291347086e-08,1.041606242580109e-06,3.5611073723378065e-05,0.029241292687269674,1e-06,0.0,0.0,1e-06
lh_temporalpole_Thickness,4.6000593343631045e-08,-5.247468156705188e-07,2.2480408496926296e-05,-0.02333202688347055,-1e-06,0.0,0.0,-1e-06
rh_cuneus_Thickness,4.4879537911375823e-08,-3.5506517500773577e-06,0.0001367684964568477,-0.025959137160113135,-5e-06,0.0,0.0,-5e-06
lh_supramarginal_Surface_Area,4.400797458882234e-08,-1.3148186907995395e-06,8.117109623073406e-05,-0.016196118946984202,-2e-06,0.0,0.0,-2e-06
right_cerebral_white_matter_Thickness,4.1562349126545174e-08,5.65568698493394e-07,2.9662095393856976e-05,0.019060625513171,1e-06,0.0,0.0,1e-06
lh_parstriangularis_Volume,4.108606650804044e-08,-9.139412111508545e-09,4.642868860090429e-06,-0.0019642531062719266,-0.0,0.0,0.0,-0.0
left_amygdala_Thickness,3.836684119503959e-08,2.8159403528194973e-07,1.19789694739e-05,0.023487759802456775,0.0,0.0,0.0,0.0
third_ventricle_Thickness,3.6934032098369234e-08,4.1059378799651e-07,2.1230192485438784e-05,0.01933098244180191,1e-06,0.0,0.0,1e-06
left_cerebellum_white_matter_Surface_Area,3.6222722764172303e-08,6.268477073455516e-07,2.4009733084082584e-05,0.02609719704841148,1e-06,0.0,0.0,1e-06
left_lateral_ventricle_Surface_Area,3.4246319925198015e-08,4.950532511361501e-07,2.1148443415392116e-05,0.023397432477287722,1e-06,0.0,0.0,1e-06
right_vessel_Surface_Area,3.4160972533621984e-08,1.0438957548096832e-06,7.627585629903325e-05,0.01368400127433468,0.0,1.3e-05,0.0,-1.3e-05
rh_unknown_Surface_Area,3.3490589779735395e-08,6.3614101822345e-07,4.648184521142999e-05,0.013682851591079787,0.0,8e-06,0.0,-8e-06
lh_cuneus_Thickness,2.975852289415847e-08,-2.373857223097416e-06,0.00010354935106609988,-0.02292267379680885,-3e-06,0.0,0.0,-3e-06
rh_pericalcarine_Thickness,2.7539011780765562e-08,-2.190963127946809e-06,0.0001047104931231946,-0.02092200927061459,-3e-06,0.0,0.0,-3e-06
lh_inferiorparietal_Thickness,2.4605310244715952e-08,1.7127650005094122e-06,0.000125149102725001,0.01368470181727566,2e-06,0.0,0.0,2e-06
lh_pericalcarine_Thickness,2.378543619707851e-08,-1.9206975679146997e-06,7.52172763121252e-05,-0.025531930199699657,-3e-06,0.0,0.0,-3e-06
lh_parstriangularis_Thickness,2.3729750936264905e-08,-7.344126415330819e-07,5.3662401491405276e-05,-0.013683245413393429,-1e-06,0.0,0.0,-1e-06
lh_insula_Surface_Area,2.1772895080049625e-08,-4.3220681570861e-07,3.0393151030944897e-05,-0.014215855957453285,-1e-06,0.0,0.0,-1e-06
lh_caudalmiddlefrontal_Thickness,1.9541714502427e-08,-5.05076375988762e-08,1.204066015263482e-05,-0.00419127557819585,-0.0,0.0,0.0,-0.0
right_thalamus_Thickness,1.8940844053898725e-08,2.1480619998941763e-07,2.184537965519986e-05,0.00982852750115968,0.0,0.0,0.0,0.0
csf_Surface_Area,1.8848444842354113e-08,-1.1359554250719817e-08,4.221328714040481e-07,-0.026287179250704427,-0.0,0.0,0.0,-0.0
rh_precentral_Thickness,1.4200824385243799e-08,1.1786683994495355e-07,8.61234860343072e-06,0.013669922821034615,0.0,0.0,0.0,0.0
right_thalamus_Surface_Area,1.3869976100977511e-08,-4.883865282560388e-08,7.327518915023822e-06,-0.006656017298382027,-0.0,0.0,0.0,-0.0
wm_hypointensities_Thickness,1.3525565104709052e-08,2.1254459800624224e-07,1.553030668049378e-05,0.013676988644826974,0.0,0.0,0.0,0.0
rh_postcentral_Thickness,1.340986920341026e-08,2.873401996445901e-07,2.09955061854065e-05,0.013679279952045082,0.0,0.0,0.0,0.0
lh_temporalpole_Volume,1.3357490313504055e-08,-3.9520902905355067e-07,3.242589572006901e-05,-0.012184310631169764,-1e-06,0.0,0.0,-1e-06
rh_superiorfrontal_Surface_Area,1.2015033043395163e-08,-2.368253351394994e-08,7.462530329693129e-06,-0.0031692790084563633,-0.0,0.0,0.0,-0.0
third_ventricle_Surface_Area,1.1805812132802935e-08,-6.885202583021481e-09,5.030911567487175e-07,-0.013419063050415146,-0.0,0.0,0.0,-0.0
rh_supramarginal_Thickness,1.102214619333765e-08,1.0388181719245313e-07,1.9453399154475733e-05,0.005337290591842218,0.0,0.0,0.0,0.0
right_lateral_ventricle_Surface_Area,9.835610889536694e-09,1.493201016410069e-07,1.0910590030517895e-05,0.013673263186671022,0.0,0.0,0.0,0.0
rh_entorhinal_Volume,9.766539024871037e-09,-3.304895822809877e-07,2.4148365169842068e-05,-0.013680130255401227,-0.0,0.0,0.0,-0.0
rh_lateralorbitofrontal_Surface_Area,7.756632036130094e-09,-1.835783730759826e-07,1.341378920245426e-05,-0.013675600108680129,-0.0,0.0,0.0,-0.0
csf_Thickness,7.239272617403599e-09,-1.4989171940170592e-07,7.767024361306136e-06,-0.01927365949211607,-0.0,0.0,0.0,-0.0
left_cerebral_white_matter_Thickness,7.118284615098537e-09,1.353449436699909e-07,9.889446744665708e-06,0.013671970480867646,0.0,0.0,0.0,0.0
lh_supramarginal_Thickness,6.913251127116382e-09,2.6447564182098437e-07,1.932482813268058e-05,0.013678716976747052,0.0,0.0,0.0,0.0
lh_lateralorbitofrontal_Thickness,5.501488487241434e-09,-1.7401485438789992e-07,1.2714997609707234e-05,-0.013675040241669916,-0.0,0.0,0.0,-0.0
rh_transversetemporal_Surface_Area,4.8883814176750345e-09,2.224575588654043e-07,1.6254631474907033e-05,0.01367738083759293,0.0,0.0,0.0,0.0
right_accumbens_area_Surface_Area,4.865655972345903e-09,4.859228399564767e-08,3.550563410394907e-06,0.013647358127026932,0.0,0.0,0.0,0.0
rh_posteriorcingulate_Surface_Area,4.82210446088505e-09,2.7699815894194535e-08,2.023982918716302e-06,0.013618509594798657,0.0,0.0,0.0,0.0
right_putamen_Surface_Area,4.78549815072549e-09,1.2894312559874652e-07,9.42167575028724e-06,0.01367128482919057,0.0,0.0,0.0,0.0
rh_insula_Surface_Area,4.7516131713421325e-09,1.7607617950631996e-07,1.2865615463830855e-05,0.013675166053299668,0.0,0.0,0.0,0.0
rh_corpuscallosum_Surface_Area,4.647527123197097e-09,-1.1978564349662386e-08,8.752552626005717e-07,-0.013531198125243034,-0.0,0.0,0.0,-0.0
lh_superiorparietal_Surface_Area,4.500226451329057e-09,9.791234905800124e-08,7.154304663314272e-06,0.013666692534639657,0.0,0.0,0.0,0.0
right_choroid_plexus_Surface_Area,4.1294159236440805e-09,-4.9588370768262654e-08,3.6233459379406777e-06,-0.013648128093293684,-0.0,0.0,0.0,-0.0
lh_posteriorcingulate_Surface_Area,3.986671581787619e-09,2.24307036438908e-08,1.6389769954946712e-06,0.013602799617687747,0.0,0.0,0.0,0.0
rh_middletemporal_Surface_Area,3.951739150640984e-09,-2.3035936873782887e-07,1.6832004561783145e-05,-0.013677669299564633,-0.0,0.0,0.0,-0.0
cc_central_Surface_Area,3.715602306397074e-09,-2.172624106756115e-09,1.5875029991759838e-07,-0.012874786639294972,-0.0,0.0,0.0,-0.0
lh_parsorbitalis_Volume,1.2753448215100046e-09,1.5452376297371608e-08,1.129081355591668e-06,0.013565647634839261,0.0,0.0,0.0,0.0
lh_entorhinal_Volume,1.2078380030643086e-09,4.1621810323227375e-08,3.041241626371888e-06,0.013640942088456705,0.0,0.0,0.0,0.0
